MiniAssembler_mov(0, 0): 0x52800000
MiniAssembler_mov(0, 1): 0x52800020
MiniAssembler_mov(0, 32767): 0x528fffe0
MiniAssembler_mov(0, -1): 0x529fffe0
MiniAssembler_mov(0, -2): 0x529fffc0
MiniAssembler_mov(0, -32767): 0x52900020
MiniAssembler_mov(0, -32768): 0x52900000
MiniAssembler_mov(1, 0): 0x52800001
MiniAssembler_mov(1, 1): 0x52800021
MiniAssembler_mov(1, 32767): 0x528fffe1
MiniAssembler_mov(1, -1): 0x529fffe1
MiniAssembler_mov(1, -2): 0x529fffc1
MiniAssembler_mov(1, -32767): 0x52900021
MiniAssembler_mov(1, -32768): 0x52900001
MiniAssembler_mov(15, 0): 0x5280000f
MiniAssembler_mov(15, 1): 0x5280002f
MiniAssembler_mov(15, 32767): 0x528fffef
MiniAssembler_mov(15, -1): 0x529fffef
MiniAssembler_mov(15, -2): 0x529fffcf
MiniAssembler_mov(15, -32767): 0x5290002f
MiniAssembler_mov(15, -32768): 0x5290000f
MiniAssembler_mov(29, 0): 0x5280001d
MiniAssembler_mov(29, 1): 0x5280003d
MiniAssembler_mov(29, 32767): 0x528ffffd
MiniAssembler_mov(29, -1): 0x529ffffd
MiniAssembler_mov(29, -2): 0x529fffdd
MiniAssembler_mov(29, -32767): 0x5290003d
MiniAssembler_mov(29, -32768): 0x5290001d
MiniAssembler_mov(30, 0): 0x5280001e
MiniAssembler_mov(30, 1): 0x5280003e
MiniAssembler_mov(30, 32767): 0x528ffffe
MiniAssembler_mov(30, -1): 0x529ffffe
MiniAssembler_mov(30, -2): 0x529fffde
MiniAssembler_mov(30, -32767): 0x5290003e
MiniAssembler_mov(30, -32768): 0x5290001e
MiniAssembler_adr(0, 0x00000000, 0x00000000): 0x10000000
MiniAssembler_adr(0, 0x00000000, 0x00000004): 0x10ffffe0
MiniAssembler_adr(0, 0x00000000, 0x001ffff0): 0x10000080
MiniAssembler_adr(0, 0x00000000, 0x001ffffc): 0x10000020
MiniAssembler_adr(0, 0x00000000, 0x01234568): 0x10e5d4c0
MiniAssembler_adr(0, 0x00000000, 0x76543210): 0x105e6f80
MiniAssembler_adr(0, 0x00000001, 0x00000000): 0x30000000
MiniAssembler_adr(0, 0x00000001, 0x00000004): 0x30ffffe0
MiniAssembler_adr(0, 0x00000001, 0x001ffff0): 0x30000080
MiniAssembler_adr(0, 0x00000001, 0x001ffffc): 0x30000020
MiniAssembler_adr(0, 0x00000001, 0x01234568): 0x30e5d4c0
MiniAssembler_adr(0, 0x00000001, 0x76543210): 0x305e6f80
MiniAssembler_adr(0, 0x001ffffe, 0x00000000): 0x50ffffe0
MiniAssembler_adr(0, 0x001ffffe, 0x00000004): 0x50ffffc0
MiniAssembler_adr(0, 0x001ffffe, 0x001ffff0): 0x50000060
MiniAssembler_adr(0, 0x001ffffe, 0x001ffffc): 0x50000000
MiniAssembler_adr(0, 0x001ffffe, 0x01234568): 0x50e5d4a0
MiniAssembler_adr(0, 0x001ffffe, 0x76543210): 0x505e6f60
MiniAssembler_adr(0, 0x001fffff, 0x00000000): 0x70ffffe0
MiniAssembler_adr(0, 0x001fffff, 0x00000004): 0x70ffffc0
MiniAssembler_adr(0, 0x001fffff, 0x001ffff0): 0x70000060
MiniAssembler_adr(0, 0x001fffff, 0x001ffffc): 0x70000000
MiniAssembler_adr(0, 0x001fffff, 0x01234568): 0x70e5d4a0
MiniAssembler_adr(0, 0x001fffff, 0x76543210): 0x705e6f60
MiniAssembler_adr(0, 0x01234567, 0x00000000): 0x701a2b20
MiniAssembler_adr(0, 0x01234567, 0x00000004): 0x701a2b00
MiniAssembler_adr(0, 0x01234567, 0x001ffff0): 0x701a2ba0
MiniAssembler_adr(0, 0x01234567, 0x001ffffc): 0x701a2b40
MiniAssembler_adr(0, 0x01234567, 0x01234568): 0x70ffffe0
MiniAssembler_adr(0, 0x01234567, 0x76543210): 0x70789aa0
MiniAssembler_adr(0, 0x76543210, 0x00000000): 0x10a19080
MiniAssembler_adr(0, 0x76543210, 0x00000004): 0x10a19060
MiniAssembler_adr(0, 0x76543210, 0x001ffff0): 0x10a19100
MiniAssembler_adr(0, 0x76543210, 0x001ffffc): 0x10a190a0
MiniAssembler_adr(0, 0x76543210, 0x01234568): 0x10876540
MiniAssembler_adr(0, 0x76543210, 0x76543210): 0x10000000
MiniAssembler_adr(1, 0x00000000, 0x00000000): 0x10000001
MiniAssembler_adr(1, 0x00000000, 0x00000004): 0x10ffffe1
MiniAssembler_adr(1, 0x00000000, 0x001ffff0): 0x10000081
MiniAssembler_adr(1, 0x00000000, 0x001ffffc): 0x10000021
MiniAssembler_adr(1, 0x00000000, 0x01234568): 0x10e5d4c1
MiniAssembler_adr(1, 0x00000000, 0x76543210): 0x105e6f81
MiniAssembler_adr(1, 0x00000001, 0x00000000): 0x30000001
MiniAssembler_adr(1, 0x00000001, 0x00000004): 0x30ffffe1
MiniAssembler_adr(1, 0x00000001, 0x001ffff0): 0x30000081
MiniAssembler_adr(1, 0x00000001, 0x001ffffc): 0x30000021
